ID,title,anger,anticipation,disgust,fear,joy,love,optimism,pessimism,sadness,surprise,trust,32k-ids,count,positive,neutral,negative,numeric_sentiment
2017-En-21441,Worry is a down payment on a problem you may never have'. Joyce Meyer. motivation leadership worry,0,1,0,0,0,0,1,0,0,0,1,1285 388 46 4 464 19328 58 4 594 75 697 595 103 4204 17906 17320 31946 11124 8714 3094,20,0,0,1,0.0
2017-En-31535,Whatever you decide to do make sure it makes you happy.,0,0,0,0,1,1,1,0,0,0,0,12862 75 4420 26 138 463 735 36 707 75 800 31946,12,1,0,0,1.0
2017-En-21068,"Kellerman it also helps that the majority of NFL coaching is inept. Some of Bill O'Brien's play calling was wow, ! GOPATS",1,0,1,0,1,0,1,0,0,0,0,12332 4549 36 396 2000 74 10 6779 39 19509 18724 46 23688 31946 1807 39 5545 255 31953 23717 31953 31932 457 6871 81 6928 31951 2671 193 5546 1551 31955,32,0,0,1,0.0
2017-En-31436,Accept the challenges so that you can literally even feel the exhilaration of victory.' -- George S. Patton dog,0,0,0,0,1,0,1,0,0,0,0,6600 1429 10 5280 117 74 75 175 3720 395 479 10 24732 217 39 16829 7135 1397 4992 110 31946 26314 1303,23,1,0,0,1.0
2017-En-22195,My roommate: it's okay that we can't spell because we have autocorrect. terrible firstworldprobs,1,0,1,0,0,0,0,0,0,0,0,456 17244 31991 36 31953 31932 2853 74 95 175 31953 31928 7926 354 95 103 2012 1074 23 1817 31946 3069 378 8136 3158 922,26,0,0,1,0.0
2017-En-22190,No but that's so cute. Atsu was probably shy about photos before but cherry helped her out uwu,0,0,0,0,1,0,0,0,0,0,0,1086 102 74 31953 31932 117 1447 31946 98 843 31938 81 1143 11079 228 2520 634 102 13580 2305 279 187 111 31944 31938,25,1,0,0,1.0
2017-En-20221,Do you think humans have the sense for recognizing impending doom?,0,1,0,0,0,0,0,1,0,0,0,1593 75 419 6665 103 10 1824 61 19811 27964 21261 31992,12,0,0,1,0.0
2017-En-22180,"Rooneys fucking untouchable isn't he? Been fucking dreadful again, depay has looked decent(ish)tonight",1,0,1,0,0,0,0,0,0,0,0,3990 728 31932 18 979 25 1085 22 13529 1158 31953 31928 121 31992 8857 18 979 25 20156 517 31951 1851 79 216 1652 2300 31979 454 31977 1418 270,31,0,0,1,0.0
2017-En-41344,it's pretty depressing when u hit pan on ur favourite highlighter,0,0,1,0,0,0,0,0,1,0,0,36 31953 31932 764 9289 261 111 2043 2438 58 4139 8351 28925,13,0,0,1,0.0
2017-En-20759,but your pussy was weak from what I heard so stfu up to me bitch . You got to threaten him that your pregnant .,1,0,1,0,0,0,0,0,0,0,0,102 276 27573 1721 81 3116 195 272 19 1578 117 72 22065 208 26 154 26780 1063 636 438 26 27216 669 74 276 7305 1063,27,0,0,1,0.0
2017-En-40158,Making that yearly transition from excited and hopeful college returner to sick and exhausted pessimist. college,0,0,1,0,0,0,0,1,1,0,0,14886 74 24561 7737 195 2353 28 10844 3242 1010 13 26 4535 28 19737 24 180 124 188 31946 3242,21,0,0,0,0.5
2017-En-21744,And it's hard to dance with a devil on your back So shake him off.,0,0,0,0,0,0,0,0,0,0,0,730 36 31953 31932 578 26 3984 84 4 14169 58 276 387 734 6754 669 382 31946,18,0,0,1,0.0
2017-En-31337,Tiller and breezy should do a collab album. Rapping and singing prolly be fire,0,0,0,0,1,1,0,0,0,0,0,54 20227 28 22234 593 138 4 888 324 716 31946 269 6056 28 4050 136 4205 60 2392,19,1,0,0,1.0
2017-En-10902,S/O to the girl that just hit my car...not only did she get lucky w/ no scratch but also from being spared the wrath of sleep deprived Kait upside-down,1,0,0,0,0,0,0,0,1,0,0,110 31990 31966 26 10 1480 74 204 2043 92 708 314 1078 309 290 351 203 5534 8 31990 262 3655 102 396 195 704 398 1356 10 342 927 39 1951 31113 417 5992 7780 31958 4506,39,0,0,1,0.0
2017-En-11274,uk broadband is shocking regretting signing up now angry shouldofgonewithvirgin,1,0,1,0,0,0,0,0,0,0,0,22680 5220 1223 46 9824 3559 450 18781 208 483 6818 593 3440 21000 3522 31948 7365,17,0,0,1,0.0
2017-En-11097,People you need to look up the definition of protest. What you are doing is not protesting is called vandalism. angry stop,1,0,1,0,0,0,0,0,1,0,0,5038 75 364 26 273 208 10 9541 39 22064 31946 1122 75 112 1487 46 104 22064 25 46 2168 232 13033 1633 31946 6818 1674,27,0,0,1,0.0
2017-En-11475,Look at those teef! growl,1,0,1,1,0,0,0,0,0,0,0,2276 166 714 355 1590 31956 2782 31936,8,0,1,0,0.5
2017-En-10989,Star trek online has a update to download oh fuming yay,1,0,1,0,1,0,0,0,1,0,0,3678 16792 2008 216 4 3247 26 2089 5348 18 13029 25110,12,1,0,0,1.0
2017-En-10618,"The bitter the battle, the sweeter the victory...",0,0,0,0,1,0,1,0,0,0,0,94 7634 10 4121 31951 10 24019 10 16829 314,10,0,1,0,0.5
2017-En-40212,i cant stop. i finished - dejected. luckily no one is in the bathroom. so i go to a stall and wait until my pants are dry.,1,0,1,0,0,0,0,0,1,0,0,332 3168 1674 31946 332 2146 349 160 1132 31 31946 14167 262 150 46 41 10 4222 31946 117 332 298 26 4 24551 28 1015 1137 92 3702 112 1600 31946,33,0,0,1,0.0
